,Content ID,,Datetime,Content Type,Category,Sentiment,Score,Reaction Type
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,,7/11/20 9:43,photo,studying,negative,0,disgust
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,,17/6/21 12:22,photo,studying,negative,10,dislike
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,,18/4/21 5:13,photo,studying,negative,15,scared
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,,6/1/21 19:13,photo,studying,negative,0,disgust
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,,23/8/20 12:25,photo,studying,positive,30,interested
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,,7/12/20 6:27,photo,studying,neutral,35,peeking
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,,11/4/21 17:35,photo,studying,positive,70,cherish
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,,27/1/21 8:32,photo,studying,negative,5,hate
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,,1/4/21 10:54 PM,photo,studying,neutral,35,peeking
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,,4/8/20 5:05,photo,studying,positive,65,love
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,,7/11/20 8:36,photo,studying,neutral,20,indifferent
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,,2/11/20 6:28,photo,studying,negative,15,scared
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,,1/11/20 1:16,photo,studying,positive,30,interested
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,,7/10/20 18:39,photo,studying,negative,5,hate
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,,3/9/20 18:51,photo,studying,negative,15,scared
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,,24/2/21 5:09,photo,studying,positive,75,super love
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,,23/9/20 6:24,photo,studying,neutral,35,peeking
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,,24/2/21 11:37,photo,studying,neutral,20,indifferent
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,,22/5/21 19:44,photo,studying,positive,30,interested
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,,31/1/21 16:03,photo,studying,positive,45,intrigued
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,,20/11/20 17:26,photo,studying,neutral,35,peeking
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,,11/4/21 20:47,photo,studying,negative,12,worried
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,,13/6/21 16:46,photo,studying,positive,50,like
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,,11/4/21 14:29,photo,studying,positive,60,heart
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,,2/3/21 19:21,photo,studying,negative,12,worried
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,,27/6/20 18:44,photo,studying,negative,5,hate
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,,9/5/21 21:05,photo,studying,negative,5,hate
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,,4/8/20 23:58,photo,studying,positive,70,cherish
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,,28/8/20 3:57,photo,studying,positive,75,super love
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,,25/8/20 8:21,photo,studying,positive,45,intrigued
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,,20/4/21 23:48,photo,studying,negative,15,scared
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,,7/3/21 12:40,photo,studying,positive,30,interested
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,,24/5/21 3:21,photo,studying,neutral,20,indifferent
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,,24/1/21 11:03,photo,studying,positive,75,super love
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,,9/4/21 2:46,photo,studying,negative,0,disgust
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,,2/2/21 3:43,photo,studying,positive,75,super love
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,,4/2/21 3:06,photo,studying,positive,30,interested
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,,9/11/20 2:49,photo,studying,negative,10,dislike
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,,29/9/20 16:00,photo,studying,negative,15,scared
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,,29/11/20 21:33,photo,studying,negative,10,dislike
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,,13/2/21 7:54,photo,studying,positive,70,want
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,,14/7/20 5:28,photo,studying,positive,30,interested
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,,23/8/20 10:30,photo,studying,neutral,20,indifferent
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,,10/5/21 9:27,photo,studying,negative,12,worried
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,,15/3/21 3:59,photo,studying,negative,5,hate
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,25/6/20 17:01,photo,healthy eating,negative,10,dislike
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,13/9/20 0:11,photo,healthy eating,positive,45,intrigued
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,20/8/20 18:17,photo,healthy eating,neutral,35,peeking
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,11/2/21 4:53,photo,healthy eating,negative,15,scared
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,8/3/21 10:40,photo,healthy eating,negative,5,hate
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,28/3/21 21:15,photo,healthy eating,negative,0,disgust
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,25/5/21 1:00,photo,healthy eating,negative,5,hate
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,15/3/21 12:17,photo,healthy eating,positive,50,like
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,5/5/21 16:26,photo,healthy eating,positive,65,love
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,31/8/20 0:21,photo,healthy eating,positive,65,love
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,16/6/21 3:02,photo,healthy eating,positive,60,heart
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,7/7/20 10:52,photo,healthy eating,neutral,20,indifferent
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,20/8/20 7:59,photo,healthy eating,neutral,35,peeking
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,23/9/20 11:15,photo,healthy eating,positive,65,love
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,24/3/21 5:56,photo,healthy eating,positive,50,like
60,230c4e4d-70c3-461d-b42c-ec09396efb3f,,7/12/20 19:13,photo,healthy eating,negative,5,hate
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,,3/8/20 16:41,photo,healthy eating,positive,75,super love
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,,10/1/21 15:36,photo,healthy eating,positive,72,adore
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,,20/9/20 8:48,photo,healthy eating,negative,15,scared
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,,20/7/20 14:06,photo,healthy eating,positive,70,cherish
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,,24/10/20 12:15,photo,healthy eating,positive,72,adore
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,,6/6/21 1:27,photo,healthy eating,positive,30,interested
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,,25/12/20 0:09,photo,healthy eating,positive,60,heart
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,,14/6/21 7:56,photo,healthy eating,positive,50,like
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,,5/6/21 18:00,photo,healthy eating,positive,50,like
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,,18/11/20 23:37,photo,healthy eating,negative,5,hate
